1618122300000,59524.77000000,59526.19000000,59410.15000000,59440.54000000,97.84951600,1618122599999,5820260.42809648,5991,45.04633000,2679526.46357633,0
1618122600000,59440.53000000,59551.73000000,59440.53000000,59520.66000000,145.48469000,1618122899999,8656739.48186790,7720,84.53381100,5030113.06047212,0
1618122900000,59520.65000000,59614.80000000,59433.61000000,59611.24000000,231.73470300,1618123199999,13792261.70345164,9126,128.26718200,7634110.86536793,0
1618123200000,59611.24000000,59761.39000000,59505.83000000,59761.39000000,128.36894000,1618123499999,7654118.80841408,7168,76.74891800,4576518.22638553,0
1618123500000,59761.38000000,59892.62000000,59661.44000000,59892.61000000,232.67606900,1618123799999,13911291.01630934,8145,114.54210700,6848351.08015773,0
1618123800000,59892.62000000,59909.68000000,59784.75000000,59795.66000000,178.98332200,1618124099999,10709187.25110906,6377,61.82189800,3699099.26831716,0
1618124100000,59795.66000000,59818.87000000,59714.69000000,59735.00000000,140.51697100,1618124399999,8397900.96853484,5495,48.95563900,2925931.81727829,0
1618124400000,59735.01000000,59790.15000000,59672.75000000,59675.32000000,97.66304700,1618124699999,5831703.63029701,4270,42.45461700,2535097.67064667,0
1618124700000,59675.32000000,59700.00000000,59629.63000000,59641.19000000,73.33627300,1618124999999,4375259.66805312,3762,39.66188400,2366150.34175379,0
1618125000000,59641.18000000,59641.19000000,59400.00000000,59431.61000000,192.45210000,1618125299999,11448568.88853600,6183,78.43416100,4665409.90580162,0
1618125300000,59434.47000000,59621.75000000,59431.61000000,59618.06000000,127.53241800,1618125599999,7593601.47385341,4115,72.96448800,4344559.34442229,0
1618125600000,59618.06000000,59637.86000000,59544.30000000,59623.80000000,91.31323500,1618125899999,5442513.49694920,3968,52.98732500,3158314.54762717,0
1618125900000,59623.81000000,59717.51000000,59602.45000000,59697.32000000,87.90022300,1618126199999,5245106.85688832,3957,43.72838900,2609187.91170158,0
1618126200000,59697.33000000,59697.73000000,59571.62000000,59574.27000000,76.44545000,1618126499999,4558580.34418757,3660,38.95408400,2322671.33009280,0
1618126500000,59574.27000000,59665.42000000,59542.29000000,59557.62000000,87.03132700,1618126799999,5186520.31140258,3701,40.15579500,2393164.06971023,0
1618126800000,59557.61000000,59697.74000000,59557.61000000,59697.74000000,71.50159200,1618127099999,4264486.68856789,3503,38.81069000,2314703.65830090,0
1618127100000,59697.73000000,59754.59000000,59668.12000000,59751.01000000,89.72392400,1618127399999,5357413.80853378,3934,50.87375900,3037691.53724668,0
1618127400000,59751.00000000,59752.93000000,59628.29000000,59631.80000000,103.58904200,1618127699999,6183371.24310451,4187,48.27457200,2881343.56848918,0
1618127700000,59631.81000000,59712.84000000,59630.00000000,59655.49000000,94.12323500,1618127999999,5615864.99675837,4189,46.06042300,2748271.05092655,0
1618128000000,59655.50000000,59800.00000000,59655.49000000,59758.88000000,150.88379800,1618128299999,9015369.00765036,6426,69.89658200,4176320.23723362,0
1618128300000,59758.89000000,59874.80000000,59728.95000000,59838.01000000,126.87233500,1618128599999,7589821.12939979,5142,69.96846900,4185720.40981890,0
1618128600000,59838.00000000,59843.87000000,59771.53000000,59813.78000000,84.25582100,1618128899999,5038268.32807066,3908,40.77474900,2438129.29882076,0
1618128900000,59813.78000000,59897.20000000,59783.53000000,59895.85000000,78.78008600,1618129199999,4712901.76250617,4151,39.73386400,2376898.22659772,0
1618129200000,59895.84000000,60144.70000000,59839.74000000,60097.17000000,221.60733900,1618129499999,13303905.90644878,8887,110.11892300,6611029.04541017,0
1618129500000,60097.17000000,60118.72000000,60003.12000000,60050.83000000,122.22088700,1618129799999,7337756.33910001,4644,66.25997900,3977876.18836649,0
1618129800000,60050.84000000,60059.94000000,59931.98000000,59981.74000000,118.46851800,1618130099999,7107382.89598814,4479,50.49180900,3029182.71114495,0
1618130100000,59981.74000000,59990.97000000,59928.15000000,59928.15000000,106.13274100,1618130399999,6364092.03485067,4161,57.83929100,3468335.45336019,0
1618130400000,59928.14000000,59997.00000000,59840.83000000,59993.61000000,145.59717200,1618130699999,8726666.87323029,4822,64.17024400,3846392.15315194,0
1618130700000,59993.61000000,60070.00000000,59987.90000000,60034.98000000,111.34675900,1618130999999,6684514.37925467,4661,62.96445300,3779860.43839873,0
1618131000000,60034.98000000,60040.62000000,59937.34000000,60010.79000000,92.72577300,1618131299999,5563406.54301038,4513,52.46178700,3147608.03403605,0
1618131300000,60010.78000000,60037.06000000,59944.86000000,59961.81000000,74.66357500,1618131599999,4478864.50395143,3783,37.88971500,2272839.19332562,0
1618131600000,59961.81000000,60045.00000000,59855.00000000,59923.82000000,100.83974200,1618131899999,6045243.21547086,6336,51.37831300,3080220.71759189,0
1618131900000,59923.82000000,59964.47000000,59854.44000000,59868.75000000,84.81012600,1618132199999,5080677.56580076,6493,44.95981300,2693122.88014928,0
1618132200000,59868.75000000,59927.56000000,59713.13000000,59796.52000000,137.13748800,1618132499999,8205039.64560144,10212,55.79867000,3338671.33844852,0
1618132500000,59796.52000000,59836.51000000,59630.72000000,59646.39000000,151.93638100,1618132799999,9073221.77061114,9757,76.84567100,4589415.00179043,0
1618132800000,59646.39000000,59731.85000000,59572.20000000,59708.19000000,159.85370600,1618133099999,9534867.73395809,8167,77.77478600,4639297.24359042,0
1618133100000,59708.19000000,59788.02000000,59698.83000000,59755.36000000,152.08420300,1618133399999,9086301.97808346,7607,91.52751200,5468208.46320728,0
1618133400000,59755.36000000,59800.01000000,59558.56000000,59593.56000000,277.54564200,1618133699999,16569212.28878604,8083,83.89222000,5006728.56066332,0
